Time	Raw Data				
0.987903226	29366.00		-81.7078524048432-61.8149818652807i	29.66796875	102.456162
0.991935484	29381.00		4.81979692131158-51.2107326967013i	29.7890625	51.43704488
0.995967742	29386.00		163.601999387766+7.95408941346254i	29.91015625	163.7952433
1	29395.00		141.223788143392-56.6116660650677i	30.03125	152.1480827
1.004032258	29390.00		-19.7798766523594-72.9009212162261i	30.15234375	75.5366655
1.008064516	29378.00		129.564845410549+181.060033125924i	30.2734375	222.642729
1.012096774	29362.00		30.8079940794857-59.7123455683015i	30.39453125	67.19149286
1.016129032	29343.00		183.446985692396-35.7416069796486i	30.515625	186.8963858
1.02016129	29335.00		-73.0970356524814-41.9370797904168i	30.63671875	84.27274341
1.024193548	29320.00		84.8536005098096-199.113441970887i	30.7578125	216.4400524
1.028225806	29305.00		-108.658821301175-38.3156545557041i	30.87890625	115.2164434
1.032258065	29316.00		113-92.9999999999999i	31	146.3488982
1.036290323	29302.00		-78.3132051303644+13.4779417751882i	31.12109375	79.46453934
1.040322581	29301.00		-25.6972310467159-76.3315216562468i	31.2421875	80.54097641
1.044354839	29290.00		-135.835745354968-14.0331686532573i	31.36328125	136.5587036
1.048387097	29281.00		65.4886322174848-133.750110033739i	31.484375	148.9223049
1.052419355	29275.00		34.2077301208005-168.938181701554i	31.60546875	172.3666964
1.056451613	29260.00		-99.6690042549724-95.6688207869994i	31.7265625	138.1536597
1.060483871	29256.00		134.432594975427-25.0415211623396i	31.84765625	136.7450196
1.064516129	29258.00		-22.8365279260641+64.6527663487464i	31.96875	68.5673917
1.068548387	29244.00		106.607152705679-178.217372155343i	32.08984375	207.6692484
1.072580645	29245.00		260.293240675968-13.898085238933i	32.2109375	260.6640135
1.076612903	29239.00		182.440181708414+126.599303396126i	32.33203125	222.0626117
1.080645161	29230.00		4.28349395651154+1.40004726206745i	32.453125	4.506490077
1.084677419	29232.00		77.3920554192561+22.1261780941637i	32.57421875	80.4928444
1.088709677	29221.00		106.263974090782-38.7319960172835i	32.6953125	113.102607
1.092741935	29217.00		148.366546104787+2.17587194642412i	32.81640625	148.3825004
1.096774194	29205.00		-81.3542869829598-58.444875559269i	32.9375	100.1714704
1.100806452	29202.00		71.3560176160873-22.5859157142343i	33.05859375	74.84520585
1.10483871	29198.00		55.6615812432843-126.41580241849i	33.1796875	138.1273569
1.108870968	29200.00		205.197068419646-106.716620647216i	33.30078125	231.288292
1.112903226	29201.00		55.117676578089-68.382434594508i	33.421875	87.83003833
1.116935484	29198.00		90.2719413768125-103.749578044723i	33.54296875	137.5245372
1.120967742	29206.00		44.1467389258215-116.826293227888i	33.6640625	124.8892203
1.125	29217.00		121.657726800989-164.203070940239i	33.78515625	204.3605906
1.129032258	29241.00		82.3094386169648-82.6533325033754i	33.90625	116.6465476
1.133064516	29264.00		-8.4003236356093+19.3820869245876i	34.02734375	21.12417408
1.137096774	29272.00		63.8989550686873-67.0148057100058i	34.1484375	92.5962237
1.141129032	29278.00		32.7686629051667-25.4748564255353i	34.26953125	41.50606677
1.14516129	29288.00		-18.5751404197188-86.6258924388404i	34.390625	88.59503983
1.149193548	29283.00		-27.6840442871207-46.5254161381592i	34.51171875	54.13890149
1.153225806	29290.00		0.925771355987436+68.7754518494573i	34.6328125	68.78168237
1.157258065	29283.00		118.764942005518-90.4061023718002i	34.75390625	149.2594211
1.161290323	29277.00		4.81947050149736-52.2568161344283i	34.875	52.47858733
1.165322581	29278.00		-58.4026185871365-41.1513661308447i	34.99609375	71.44438951
1.169354839	29288.00		-133.239996406219+49.6123406166406i	35.1171875	142.1769355
1.173387097	29310.00		89.7819017337433+27.1842910956648i	35.23828125	93.80711893
1.177419355	29312.00		311.534873956093-91.7817861912074i	35.359375	324.7735734
1.181451613	29326.00		-99.0081864132129+198.76560230019i	35.48046875	222.0594192
1.185483871	29332.00		-14.0340902598585-112.520359909971i	35.6015625	113.3921826
1.189516129	29337.00		92.0918988746779-31.4755632279156i	35.72265625	97.32229405
1.193548387	29347.00		143.796853868034+137.211468973868i	35.84375	198.7574462
1.197580645	29349.00		-116.983095148729+54.2331672755886i	35.96484375	128.9429369
1.201612903	29364.00		-114.552081516022-186.036982767192i	36.0859375	218.4764022
1.205645161	29362.00		93.1204872886796+31.4346452117921i	36.20703125	98.28307114
1.209677419	29387.00		301.509962326388-85.6425891362537i	36.328125	313.4372512
1.213709677	29394.00		75.4992332393213-155.961725326574i	36.44921875	173.2749087
1.217741935	29423.00		21.3908667041395+22.4683941203332i	36.5703125	31.02253879
1.221774194	29444.00		76.6276540949159-111.653366339482i	36.69140625	135.4188746
1.225806452	29453.00		-23.034743035401-161.124068184443i	36.8125	162.7622952
1.22983871	29455.00		118.946313838266-25.3256538074497i	36.93359375	121.6125582
1.233870968	29454.00		26.4422710987759+5.23821541287975i	37.0546875	26.95612364
1.237903226	29448.00		96.4161985803742-5.33319922264394i	37.17578125	96.56358715
1.241935484	29441.00		100.863499203365-38.2058605383063i	37.296875	107.8570037
1.245967742	29428.00		25.7596097349677-87.0215569960046i	37.41796875	90.75411217
1.25	29436.00		226.057491890293+53.0689282037412i	37.5390625	232.2031455
1.254032258	29432.00		-11.6119961732948-30.4587455973518i	37.66015625	32.59714157
1.258064516	29428.00		79.5401095937314+122.150593486099i	37.78125	145.7648672
1.262096774	29423.00		-106.633128128585-225.515855399585i	37.90234375	249.455457
1.266129032	29420.00		154.360122986059-30.607476781767i	38.0234375	157.3653876
1.27016129	29413.00		14.8151395001637-54.5383252400113i	38.14453125	56.51475275
1.274193548	29411.00		-10.4364719890741+19.3887345775079i	38.265625	22.01915021
1.278225806	29402.00		97.69762311755+42.44255011062i	38.38671875	106.5185224
1.282258065	29392.00		9.83921341665124-170.625968160143i	38.5078125	170.9094238
1.286290323	29377.00		-35.9385289790578+3.15320771550144i	38.62890625	36.0765933
1.290322581	29357.00		20.4387161417156-43.4030873696229i	38.75	47.97467155
1.294354839	29345.00		10.4193229032327-105.318714593698i	38.87109375	105.8328585
1.298387097	29323.00		142.847018537754+88.1956137796559i	38.9921875	167.8801269
1.302419355	29307.00		43.2008516147778-157.542237198489i	39.11328125	163.3581038
1.306451613	29298.00		116.269671916694+34.5073412111575i	39.234375	121.2822873
1.310483871	29285.00		147.173573719227-145.289877830194i	39.35546875	206.8071793
1.314516129	29296.00		74.1111719063705-41.9729537998335i	39.4765625	85.17156011
1.318548387	29291.00		128.077488379176-11.5739490206424i	39.59765625	128.5993753
1.322580645	29289.00		100.977863545367+56.4465908918473i	39.71875	115.6838215
1.326612903	29283.00		42.3790535058529-55.4803685874292i	39.83984375	69.814436
1.330645161	29266.00		125.72825382422+52.1772694679723i	39.9609375	136.1251676
1.334677419	29260.00		155.565094903305-103.423703423719i	40.08203125	186.8072835
1.338709677	29251.00		-63.5488463126471-203.668046525943i	40.203125	213.3521245
1.342741935	29239.00		119.453691225013-33.0067721090182i	40.32421875	123.9299453
1.346774194	29248.00		199.337598115893-129.889665647575i	40.4453125	237.9218428
1.350806452	29250.00		132.260060875439+38.8194995510962i	40.56640625	137.8393168
1.35483871	29246.00		37.242019319462-76.7698129870396i	40.6875	85.32626904
1.358870968	29256.00		-65.0023966557511-108.337827021088i	40.80859375	126.3423774
1.362903226	29252.00		-57.2786724817469-46.8960811161666i	40.9296875	74.0276215
1.366935484	29250.00		60.4602690839504+53.0277480138324i	41.05078125	80.42006091
1.370967742	29242.00		27.7975531677068-114.172033972618i	41.171875	117.5072649
1.375	29243.00		84.5769541880126-67.6002289784918i	41.29296875	108.2730444
1.379032258	29237.00		157.434707651123-41.2742221057157i	41.4140625	162.7551799
1.383064516	29225.00		-13.6672654353199-22.5253838199299i	41.53515625	26.34742987
1.387096774	29231.00		-27.7133332748599-30.2359253556928i	41.65625	41.01511945
1.391129032	29222.00		106.299485623155-46.206611832917i	41.77734375	115.9078583
1.39516129	29235.00		44.2877473659689+33.6198223358165i	41.8984375	55.60303068
1.399193548	29238.00		61.1844840848336-269.566904767857i	42.01953125	276.4233298
1.403225806	29245.00		108.566366176546-10.9478921239231i	42.140625	109.1169657
1.407258065	29251.00		84.4282526459048+11.6334001113431i	42.26171875	85.2259693
1.411290323	29255.00		-27.8958131519349+33.4071655602818i	42.3828125	43.52258152
1.415322581	29256.00		-22.9493850874813-11.9218476124467i	42.50390625	25.86125918
1.419354839	29260.00		165.653642698825-145.358190243398i	42.625	220.3863263
1.423387097	29265.00		129.908809639889-150.243683323758i	42.74609375	198.6188893
1.427419355	29276.00		49.0478490306231-25.236739941568i	42.8671875	55.15962779
1.431451613	29300.00		-11.9886018741404-31.6667525664072i	42.98828125	33.86015052
1.435483871	29306.00		-44.3148075853434-97.0367945817417i	43.109375	106.6768094
1.439516129	29304.00		66.7415980364778+72.1287466982191i	43.23046875	98.27002091
