# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 04 Dec 2018 15:16:18
 0> <info> app: Unplug USE Detect
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	HR sample count 707
 0> <info> app: Peak Index,
 0> ,118,220,326,417,519,616
 0> ,END Peak Index,<info> app: HR Index,
 0> ,69,66,77,69,72<info> app: HR Mean 70 
 0> <info> app: HR SD 3.72 
 0> <info> app: ^_^ Final HR 70 
 0> <info> app: Peak Index,
 0> ,67,89,137,161,179,185,205,287,296,348,355,360,365,378,384,388,395,404,443,470,495,518,572,590,650
 0> ,END Peak Index,<info> app: HR Index,
 0> ,65,147,137,98,86,136,136,136,51,131,137,118<info> app: HR Mean 114 
 0> <info> app: HR SD 30.69 
 0> 
 0> SPO2,16,115116,138731,-14.00,-1
 0> SPO2,17,115124,138735,-9.00,-1
 0> SPO2,18,115122,138739,-5.00,-1
 0> SPO2,19,115108,138747,3.00,0
 0> SPO2,20,115112,138746,1.00,0
 0> SPO2,21,115106,138742,-2.00,-1
 0> SPO2,22,115120,138738,-6.00,-1
 0> SPO2,23,115116,138741,-2.00,-1
 0> SPO2,24,115113,138744,0.00,0
 0> SPO2,25,115113,138733,-10.00,-1
 0> SPO2,26,115122,138738,-5.00,-1
 0> SPO2,27,115107,138731,-11.00,-1
 0> SPO2,28,115102,138734,-8.00,-1
 0> SPO2,29,115106,138731,-10.00,-1
 0> SPO2,30,115133,138733,-8.00,-1
 0> SPO2,31,115105,138735,-5.00,-1
 0> SPO2,32,115112,138744,3.00,0
 0> SPO2,33,115114,138741,0.00,0
 0> SPO2,34,115121,138736,-4.00,-1
 0> SPO2,35,115115,138734,-6.00,-1
 0> SPO2,36,115124,138734,-6.00,-1
 0> SPO2,37,115118,138735,-4.00,-1
 0> SPO2,38,115115,138726,-13.00,-1
 0> SPO2,39,115114,138738,0.00,0
 0> SPO2,40,115112,138741,2.00,0
 0> SPO2,41,115114,138740,0.00,0
 0> SPO2,42,115102,138731,-8.00,-1
 0> SPO2,43,115120,138747,8.00,1
 0> SPO2,44,115108,138732,-7.00,-1
 0> SPO2,45,115113,138727,-11.00,-1
 0> SPO2,46,115106,138740,1.00,0
 0> SPO2,47,115103,138740,1.00,0
 0> SPO2,48,115106,138745,6.00,1
 0> SPO2,49,115104,138741,2.00,0
 0> SPO2,50,115112,138732,-6.00,-1
 0> SPO2,51,115105,138739,0.00,0
 0> SPO2,52,115108,138737,-1.00,0
 0> SPO2,53,115099,138738,0.00,0
