-2742	-19185	2656
-2427	-20379	1895
-2738	-18917	1336
-1598	-17760	746
-2036	-16463	1679
-1637	-15196	2429
-4364	-14980	1681
-5303	-15751	2673
-6713	-14792	1987
-7700	-15368	1877
-6722	-14712	1356
-8242	-13501	677
-7660	-12391	1144
-9597	-12419	2574
-9777	-12506	2484
-8511	-13095	2220
-9357	-13960	2272
-8657	-14893	2128
-8101	-16770	1605
-6789	-17395	962
-7956	-16885	193
-4547	-15202	1849
-4722	-14403	2949
-4427	-14552	2983
-4582	-14888	2833
-3759	-15478	2746
-3587	-16518	2115
-4644	-17271	2203
-4638	-17609	2189
-3686	-17471	2377
-3026	-17621	2256
-2679	-17514	2333
-2715	-17376	1938
-3250	-17254	1604
-3549	-15725	1423
-3350	-14834	1224
-3249	-14431	1178
-3167	-15538	1438
-3444	-16705	1509
-3858	-16826	1246
-3929	-16164	971
-3909	-15866	703
-3862	-15630	530
-3518	-15768	410
-3868	-16031	160
-3891	-16481	-185
-2540	-16806	-2424
-5035	-16700	-2380
-5006	-15949	-683
-4015	-15931	369
-3518	-15893	676
-3194	-16000	646
-3861	-16130	571
-3994	-16421	605
-3683	-16873	501
-3712	-17947	394
-2551	-18354	-256
-4410	-17542	-1484
-3474	-15603	259
-3076	-15327	406
-2682	-15289	-118
-2617	-14638	-1573
-987	-15983	-4156
-3317	-16566	-862
-4400	-17905	984
-3625	-17907	2745
-5746	-17246	2355
-6052	-17462	1240
-4582	-12505	88
-3159	-11340	-349
-2423	-16981	1075
-1697	-20555	2589
-2991	-19238	1717
-3578	-18497	1427
-4040	-16356	1452
-3999	-15145	997
-3296	-15457	1199
-3016	-15923	1760
-4019	-16466	2434
-4721	-17744	3403
-5768	-19207	3335
-5683	-18398	4073
-5555	-16043	3264
-4581	-12872	1935
-4301	-12040	1435
-4209	-12840	1265
-4864	-15540	1423
-5358	-19629	768
-5304	-19247	-647
-4052	-17549	-1385
-4380	-15957	-1387
-1061	-17555	-3155
-3908	-16336	-2240
-3008	-15514	-1195
-2531	-14764	-283
-3107	-14788	386
-3145	-16392	730
-3394	-17692	879
-3997	-18365	665
-4057	-16973	94
-3600	-15225	62
-3122	-13935	104
-2650	-14813	517
-3023	-17400	889
-3530	-19098	983
-4270	-19308	586
-4286	-16568	-112
-3852	-14202	32
-2721	-11869	-13
-2736	-14304	724
-3517	-17586	1394
-4182	-19970	1455
-4189	-18801	1523
-3950	-16817	837
-3269	-15195	1326
-2373	-14382	63
-2509	-15187	-485
-2640	-16740	1455
-2781	-18732	2750
-2758	-18173	1909
-1884	-18631	516
-1874	-16897	-746
-2867	-15709	-1350
-4305	-16289	-593
-4787	-17287	1028
-3925	-17118	1131
-3358	-16769	1003
-2578	-15842	1002
-2326	-14732	680
-2707	-14603	254
-2645	-15710	619
-2571	-15973	740
-3181	-16388	472
-3308	-17063	343
-4012	-16392	-54
-3107	-15483	-1178
-2897	-15778	-1461
-4340	-16687	-583
-4943	-17397	-166
-4374	-17756	484
-5382	-16849	660
-5353	-15689	326
-3689	-15452	635
-4109	-16133	946
-4472	-16539	836
-3904	-17179	818
-3863	-16949	1057
-4032	-16767	934
-4052	-16025	706
-3531	-15589	587
-3440	-15783	543
-3097	-16679	788
-3136	-16619	136
-2679	-17271	-211
-2304	-17182	-565
-2551	-16881	-386
-2715	-16173	41
-2918	-15913	430
-3066	-16140	799
-3464	-16232	479
-3328	-16707	653
-3704	-16780	101
-3908	-16427	-158
-4163	-16120	-144
-3762	-16174	121
-3535	-16182	475
-3376	-16316	532
-3384	-16417	436
-3433	-16500	311
-3554	-16433	115
-3742	-16445	234
-3731	-16423	250
-3626	-16342	321
-3628	-16389	392
-3648	-16360	423
-3809	-16427	387
-3858	-16505	390
-3749	-16365	307
-3802	-16375	358
-3657	-16314	510
-3613	-16281	461
-3775	-16534	489
-3711	-16312	409
-3594	-16363	459
-3451	-16418	394
-3542	-16220	492
-3469	-16293	392
-3560	-16354	322
-3779	-16481	377
-3679	-16540	356
-3579	-16520	331
-3673	-16437	397
-3670	-16536	452
-3764	-16224	504
-3841	-16287	427
-3714	-16308	367
-3703	-16219	269
-3655	-16395	392
-3710	-16309	400
-3618	-16372	380
-3538	-16416	171
-3579	-16440	230
-3562	-16495	425
-3739	-16401	394
-3830	-16246	264
-3835	-16365	256
-3714	-16474	435
-3524	-16343	324
-3537	-16469	373
-3808	-16346	306
-3864	-16214	339
-3529	-16219	398
-3594	-16380	610
-3573	-16514	536
-3669	-16504	295
-3809	-16496	198
-3765	-16211	253
-3677	-16256	411
-3692	-16305	571
-3523	-16348	513
-3467	-16353	420
-3713	-16459	418
-3720	-16296	301
-3757	-16277	306
-3622	-16204	433
-3739	-16294	484
-3722	-16530	490
-3681	-16515	400
-3692	-16503	426
-3785	-16382	530
-3567	-16240	567
-3585	-16209	593
-3485	-16177	715
-3696	-16363	479
-3606	-16321	366
-3669	-16590	304
-3681	-16603	605
-3702	-16441	523
-3503	-16273	620
-3569	-16253	607
-3515	-16171	590
-3484	-16416	613
-3539	-16581	651
-3626	-16589	565
-3726	-16532	471
-3552	-16307	492
-3497	-16175	662
-3444	-16256	690
-3338	-16385	593
-3416	-16583	461
-3621	-16603	409
-3673	-16405	478
-3708	-16273	534
-3616	-16123	516
-3637	-16243	677
-3551	-16300	484
-3558	-16595	434
-3600	-16535	367
-3626	-16385	469
-3603	-16130	557
-3528	-16093	568
-3545	-16268	595
-3481	-16435	497
-3586	-16677	463
-3618	-16599	439
-3666	-16368	398
-3799	-16234	529
-3641	-16143	573
-3445	-16375	535
-3618	-16364	597
-3593	-16428	601
-3729	-16406	483
-3741	-16356	651
-3684	-16303	709
-3729	-16357	689
-3540	-16301	440
-3373	-16328	569
-3323	-16339	599
-3372	-16541	633
-3588	-16540	668
-3664	-16408	556
-3644	-16384	617
-3478	-16359	536
-3288	-16444	498
-3329	-16514	629
-3290	-16470	640
-3358	-16477	518
-3553	-16466	522
-3614	-16328	688
-3695	-16223	672
-3568	-16356	610
-3433	-16421	524
-3508	-16350	565
-3574	-16320	516
-3675	-16276	538
-3644	-16315	550
-3635	-16506	676
-3454	-16330	562
-3498	-16452	621
-3700	-16322	669
-3773	-16419	617
-3618	-16501	532
-3699	-16479	504
-3496	-16415	466
-3328	-16247	654
-3367	-16197	611
-3396	-16366	724
-3505	-16496	568
-3569	-16642	604
-3584	-16384	580
-3688	-16260	659
-3694	-16237	618
-3754	-16297	579
-3522	-16313	543
-3773	-16372	628
-3771	-16269	526
-3674	-16339	538
-3491	-16382	462
-3661	-16427	439
-3679	-16248	473
-3632	-16179	571
-3540	-16385	768
-3563	-16458	567
-3515	-16589	444
-3579	-16456	425
-3773	-16336	520
-3799	-16374	616
-3784	-16252	588
-3619	-16397	595
-3708	-16220	620
-3522	-16452	598
-3589	-16410	570
-3532	-16502	523
-3748	-16382	579
-3728	-16496	635
-3772	-16380	595
-3609	-16382	493
-3485	-16306	395
-3523	-16165	528
-3462	-16351	724
-3448	-16385	588
-3592	-16543	554
-3591	-16523	514
-3646	-16459	533
-3754	-16198	530
-3559	-16310	686
-3450	-16432	649
-3507	-16596	501
-3557	-16487	472
-3661	-16314	649
-3773	-16287	684
-3697	-16216	662
-3466	-16364	608
-3293	-16518	485
-3434	-16437	505
-3488	-16365	621
-3625	-16322	357
-3877	-16219	334
-3922	-16285	489
-3870	-16100	730
-3952	-16175	578
-4042	-16171	536
-4138	-16223	300
-4235	-15949	359
-4350	-15876	390
-4616	-15929	420
-4732	-16180	393
-4862	-16258	365
-5000	-16033	467
-4717	-15717	337
-4769	-15298	447
-4427	-15691	656
-4508	-15461	508
-4388	-15067	198
-4534	-14283	411
-4070	-13516	1045
-3754	-12824	1019
-5176	-12262	1653
-4243	-10858	1870
-4090	-8162	846
-4257	-7903	617
-2870	-6589	823
-2512	-8978	1476
-2258	-11180	1116
-3597	-18870	4785
-3911	-13169	2105
-3167	-17080	8401
752	23078	13533
-32768	32767	12426
-32768	12409	24658
-24777	-32768	7155
13929	-9943	-9954
-4334	11911	-1769
6316	831	133
-1858	13992	6605
-14218	12355	-2487
-8793	12883	10363
-10583	1682	6206
-16463	2343	5186
-18539	-1031	6938
-22697	1791	11929
-12463	3325	5551
-11418	759	6835
