# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 03 Dec 2018 15:41:29
 0> <info> app: Right Press
 0> <info> app: Left Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: [OK]	HR sample count 707
 0> 
 0> Plus Signal 1, 10
 0> Minus Signal -1, 30
 0> plus_index 10, minus_index 30, Peak Index, 10,11,12,13,14,15,16,17,18,19,20,21,22,23,, AVR Peak Index, 16, HR 0, Reject out of 30-180.
 0> Plus Signal 1, 102
 0> Minus Signal -1, 143
 0> plus_index 102, minus_index 143, Peak Index, 113,114,115,, AVR Peak Index, 114, HR 41
 0> Plus Signal 1, 159
 0> Minus Signal -1, 210
 0> plus_index 159, minus_index 210, Peak Index, 195,196,40,
 0> hr,253,77038,95113,-4.00,0,8
 0> hr,254,77041,95114,-4.00,0,8
 0> hr,255,77038,95107,-4.00,0,1
 0> hr,256,77034,95102,-4.00,0,-3
 0> hr,257,77033,95108,-4.00,0,2
 0> hr,258,77037,95113,-4.00,0,7
 0> hr,259,77031,95114,-4.00,0,8
 0> hr,260,77035,95120,-3.00,1,13
 0> hr,261,77045,95109,-3.00,1,1
 0> hr,262,77036,95106,-3.00,0,-1
 0> hr,263,77036,95109,-3.00,0,1
 0> hr,264,77049,95125,-2.00,0,17
 0> hr,265,77049,95113,-2.00,0,4
 0> hr,266,77041,95125,-2.00,0,16
 0> hr,267,77049,95111,-2.00,0,1
 0> hr,268,77032,95123,-1.00,0,13
 0> hr,269,77040,95126,-1.00,0,16
 0> hr,270,77038,95136,-1.00,0,25
 0> hr,271,77045,95118,0.00,0,6
 0> hr,272,77036,95117,0.00,0,4
 0> hr,273,77045,95115,0.00,0,2
 0> hr,274,77031,95117,0.00,0,4
 0> hr,275,77035,95113,0.00,0,0
 0> hr,276,77033,95099,1.00,0,-13
 0> hr,277,77035,95107,1.00,1,-5
 0> hr,278,77047,95111,1.00,0,0
 0> hr,279,77036,95117,1.00,0,5
 0> hr,280,77040,95103,2.00,0,-9
 0> hr,281,77040,95103,2.00,0,-8
 0> hr,282,77049,95100,2.00,0,-11
 0> hr,283,77040,95094,2.00,0,-16
 0> hr,284,77043,95106,2.00,0,-3
 0> hr,285,77044,95099,2.00,0,-10
 0> hr,286,77032,95101,2.00,0,-8
 0> hr,287,77034,95104,1.00,-1,-4
 0> hr,288,77029,95096,1.00,-1,-12
 0> hr,289,77037,95110,1.00,0,2
